indicador;municipio;ano;resultado
1.1.1.3;241450;2010;None
1.1.1.3;241450;2015;None
1.1.1.3;241450;2016;10808
1.1.1.3;241450;2017;10781
1.1.1.3;241460;2010;None
1.1.1.3;241460;2015;None
1.1.1.3;241460;2016;14448
1.1.1.3;241460;2017;14609
1.1.1.3;241470;2010;None
1.1.1.3;241470;2015;None
1.1.1.3;241470;2016;5534
1.1.1.3;241470;2017;5554
1.1.1.3;241475;2010;None
1.1.1.3;241475;2015;None
1.1.1.3;241475;2016;4154
1.1.1.3;241475;2017;4187
1.1.1.3;241480;2010;None
1.1.1.3;241480;2015;None
1.1.1.3;241480;2016;12196
1.1.1.3;241480;2017;12371
1.1.1.3;241490;2010;None
1.1.1.3;241490;2015;None
1.1.1.3;241490;2016;1722
1.1.1.3;241490;2017;1731
1.1.1.3;241500;2010;None
1.1.1.3;241500;2015;None
1.1.1.3;241500;2016;3145
1.1.1.3;241500;2017;3173
